InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
I000026,SC6261,Product 16,61,2023-01-02 01:00:00,12.71,25992,France
I000027,SC1194,Product 23,1,2023-01-02 02:00:00,81.24,31218,France
I000028,SC9323,Product 13,96,2023-01-02 03:00:00,3.84,31719,UK
C000029,SC9182,Product 32,66,2023-01-02 04:00:00,76.38,75087,UK
C000030,SC8691,Product 60,6,2023-01-02 05:00:00,11.32,66266,Germany
I000031,SC4861,Product 33,20,2023-01-02 06:00:00,95.94,65263,Spain
I000032,SC6807,Product 83,30,2023-01-02 07:00:00,41.46,19674,Germany
I000033,SC6658,Product 89,84,2023-01-02 08:00:00,16.44,21371,Spain
C000034,SC6335,Product 91,70,2023-01-02 09:00:00,17.78,70862,Canada
I000035,SC2918,Product 86,31,2023-01-02 10:00:00,24.04,77367,USA
I000036,SC3449,Product 71,32,2023-01-02 11:00:00,94.75,89165,USA
C000037,SC8992,Product 20,21,2023-01-02 12:00:00,1.69,70492,France
I000038,SC8221,Product 66,45,2023-01-02 13:00:00,41.4,59468,Canada
I000039,SC5984,Product 60,6,2023-01-02 14:00:00,82.76,91858,Germany
I000040,SC1369,Product 37,11,2023-01-02 15:00:00,78.37,96239,Canada
C000041,SC8731,Product 40,28,2023-01-02 16:00:00,24.88,55496,USA
I000042,SC1116,Product 6,87,2023-01-02 17:00:00,90.24,73538,UK
C000043,SC4041,Product 97,50,2023-01-02 18:00:00,81.63,46605,Spain
I000044,SC4231,Product 93,49,2023-01-02 19:00:00,81.32,23681,France
C000045,SC9127,Product 81,92,2023-01-02 20:00:00,83.69,45438,Spain
I000046,SC7653,Product 43,38,2023-01-02 21:00:00,2.6,46707,France
I000047,SC4803,Product 6,55,2023-01-02 22:00:00,84.35,11211,USA
I000048,SC1081,Product 64,23,2023-01-02 23:00:00,92.87,90457,Germany
C000049,SC5295,Product 83,51,2023-01-03 00:00:00,64.45,30695,USA
C000050,SC1880,Product 46,21,2023-01-03 01:00:00,83.65,75294,Germany
I000051,SC6926,Product 71,97,2023-01-03 02:00:00,71.62,45728,USA
C000052,SC8467,Product 39,47,2023-01-03 03:00:00,63.42,99875,France
C000053,SC3347,Product 6,36,2023-01-03 04:00:00,63.83,64963,UK
C000054,SC2522,Product 21,99,2023-01-03 05:00:00,40.85,31783,UK
C000055,SC4609,Product 66,63,2023-01-03 06:00:00,80.98,39061,USA
I000056,SC5567,Product 25,46,2023-01-03 07:00:00,63.18,54653,Germany
C000057,SC6822,Product 44,51,2023-01-03 08:00:00,85.37,88138,UK
C000058,SC3543,Product 10,86,2023-01-03 09:00:00,91.83,15680,Spain
C000059,SC4441,Product 59,38,2023-01-03 10:00:00,39.25,47459,Germany
I000060,SC3381,Product 21,92,2023-01-03 11:00:00,67.81,72026,Spain
C000061,SC8327,Product 38,67,2023-01-03 12:00:00,5.71,62224,Spain
C000062,SC8755,Product 26,35,2023-01-03 13:00:00,20.25,93548,UK
C000063,SC1372,Product 52,85,2023-01-03 14:00:00,76.26,47782,USA
I000064,SC8080,Product 34,14,2023-01-03 15:00:00,92.22,77579,Canada
I000065,SC6066,Product 74,49,2023-01-03 16:00:00,88.35,72155,France
C000066,SC8661,Product 46,32,2023-01-03 17:00:00,58.75,11025,Canada
I000067,SC4421,Product 81,30,2023-01-03 18:00:00,84.74,21548,Canada
I000068,SC6486,Product 36,16,2023-01-03 19:00:00,52.22,57515,UK
I000069,SC3372,Product 34,52,2023-01-03 20:00:00,74.67,21436,France
C000070,SC4992,Product 53,55,2023-01-03 21:00:00,83.75,79963,Spain
C000071,SC4764,Product 82,34,2023-01-03 22:00:00,62.05,24184,France
C000072,SC3052,Product 44,76,2023-01-03 23:00:00,54.63,86125,Spain
I000073,SC9590,Product 70,6,2023-01-04 00:00:00,93.91,21558,Canada
C000074,SC2762,Product 78,41,2023-01-04 01:00:00,12.72,77582,France
I000075,SC3442,Product 48,50,2023-01-04 02:00:00,46.95,72502,Spain
C000076,SC3953,Product 52,89,2023-01-04 03:00:00,1.7,38245,USA
C000077,SC2510,Product 66,16,2023-01-04 04:00:00,82.97,31282,UK
I000078,SC7850,Product 15,95,2023-01-04 05:00:00,44.26,64739,Canada
I000079,SC3723,Product 68,46,2023-01-04 06:00:00,77.94,67451,USA
I000080,SC3432,Product 3,35,2023-01-04 07:00:00,83.07,54909,Germany
I000081,SC8974,Product 94,54,2023-01-04 08:00:00,25.79,44673,Germany
C000082,SC8789,Product 92,51,2023-01-04 09:00:00,88.82,26963,USA
I000083,SC2292,Product 35,34,2023-01-04 10:00:00,98.67,25928,France
C000084,SC2031,Product 61,83,2023-01-04 11:00:00,52.38,62779,Canada
C000085,SC7774,Product 44,19,2023-01-04 12:00:00,43.15,78217,Germany
C000086,SC3382,Product 3,94,2023-01-04 13:00:00,82.55,28842,France
I000087,SC5027,Product 91,85,2023-01-04 14:00:00,99.81,57906,Germany
C000088,SC4137,Product 60,6,2023-01-04 15:00:00,66.67,50213,Germany
I000089,SC3077,Product 13,16,2023-01-04 16:00:00,63.07,56494,Spain
I000090,SC4895,Product 25,91,2023-01-04 17:00:00,50.51,77087,Spain
I000091,SC6240,Product 58,76,2023-01-04 18:00:00,87.78,74870,Spain
I000092,SC1126,Product 15,85,2023-01-04 19:00:00,5.17,63049,UK
C000093,SC9433,Product 84,8,2023-01-04 20:00:00,78.58,96053,Canada
C000094,SC9945,Product 8,79,2023-01-04 21:00:00,15.59,74684,Spain
I000095,SC9349,Product 86,87,2023-01-04 22:00:00,99.05,32057,France
I000096,SC1341,Product 69,66,2023-01-04 23:00:00,72.78,54623,Germany
C000097,SC7719,Product 25,2,2023-01-05 00:00:00,95.33,92708,UK
I000098,SC6400,Product 4,56,2023-01-05 01:00:00,50.97,93720,UK
C000099,SC7257,Product 43,73,2023-01-05 02:00:00,30.45,43250,Canada
I000100,SC3088,Product 29,83,2023-01-05 03:00:00,15.65,92073,USA
I000101,SC4027,Product 78,51,2023-01-05 04:00:00,54.31,22842,Canada
C000102,SC5394,Product 54,97,2023-01-05 05:00:00,35.13,10347,Spain
I000103,SC2814,Product 64,28,2023-01-05 06:00:00,77.25,10191,Canada
C000104,SC5772,Product 80,79,2023-01-05 07:00:00,45.25,20025,USA
I000105,SC7238,Product 55,63,2023-01-05 08:00:00,37.64,64806,Spain
C000106,SC8582,Product 34,71,2023-01-05 09:00:00,13.06,34952,UK
I000107,SC4011,Product 83,44,2023-01-05 10:00:00,38.07,96400,Canada
C000108,SC4955,Product 1,73,2023-01-05 11:00:00,61.05,38217,UK
C000109,SC7937,Product 64,71,2023-01-05 12:00:00,88.44,63507,Canada
C000110,SC8233,Product 76,58,2023-01-05 13:00:00,51.76,27197,Spain
C000111,SC2314,Product 82,12,2023-01-05 14:00:00,59.45,27679,Canada
I000112,SC3747,Product 68,94,2023-01-05 15:00:00,33.2,53803,USA
I000113,SC4207,Product 59,7,2023-01-05 16:00:00,67.79,84818,France
I000114,SC3515,Product 34,79,2023-01-05 17:00:00,60.57,35175,Spain
I000115,SC2966,Product 49,97,2023-01-05 18:00:00,53.12,68379,Germany
C000116,SC3223,Product 87,97,2023-01-05 19:00:00,81.6,21698,France
I000117,SC6417,Product 27,40,2023-01-05 20:00:00,77.93,77128,France
I000118,SC1409,Product 13,85,2023-01-05 21:00:00,65.91,74677,Canada
I000119,SC8354,Product 74,5,2023-01-05 22:00:00,40.66,92840,USA
I000120,SC3863,Product 55,39,2023-01-05 23:00:00,58.89,58696,Canada
C000121,SC5348,Product 83,11,2023-01-06 00:00:00,15.6,18318,France
I000122,SC6735,Product 8,66,2023-01-06 01:00:00,70.52,81685,UK
C000123,SC3376,Product 79,66,2023-01-06 02:00:00,13.58,16554,Germany
C000124,SC6252,Product 43,88,2023-01-06 03:00:00,58.66,72279,UK
I000125,SC6074,Product 48,62,2023-01-06 04:00:00,4.49,70352,USA
I000126,SC1130,Product 26,84,2023-01-06 05:00:00,74.56,48389,Canada
I000127,SC9504,Product 29,70,2023-01-06 06:00:00,77.84,75737,USA
I000128,SC5236,Product 1,8,2023-01-06 07:00:00,58.99,72387,Germany
C000129,SC2245,Product 91,34,2023-01-06 08:00:00,52.95,89825,Spain
C000130,SC8273,Product 50,75,2023-01-06 09:00:00,12.67,77709,Spain
C000131,SC8022,Product 1,85,2023-01-06 10:00:00,30.56,63141,France
C000132,SC3899,Product 66,69,2023-01-06 11:00:00,47.49,98575,Canada
I000133,SC5670,Product 86,57,2023-01-06 12:00:00,67.98,12664,UK
I000134,SC2418,Product 31,61,2023-01-06 13:00:00,51.12,79908,Spain
I000135,SC2887,Product 7,46,2023-01-06 14:00:00,52.07,11484,UK
C000136,SC7281,Product 99,38,2023-01-06 15:00:00,15.19,52462,UK
I000137,SC9954,Product 18,60,2023-01-06 16:00:00,56.54,68560,Spain
C000138,SC2112,Product 6,62,2023-01-06 17:00:00,5.54,87907,France
C000139,SC8949,Product 12,63,2023-01-06 18:00:00,47.59,43410,Canada
C000140,SC7810,Product 94,56,2023-01-06 19:00:00,82.93,95318,France
C000141,SC3995,Product 62,9,2023-01-06 20:00:00,45.8,84855,USA
I000142,SC8800,Product 79,64,2023-01-06 21:00:00,41.64,84545,Canada
I000143,SC6973,Product 72,36,2023-01-06 22:00:00,82.86,89761,USA
C000144,SC9940,Product 65,89,2023-01-06 23:00:00,67.07,57846,Spain
I000145,SC9079,Product 70,89,2023-01-07 00:00:00,31.62,36663,Canada
I000146,SC8396,Product 60,34,2023-01-07 01:00:00,69.59,40195,France
I000147,SC4537,Product 11,27,2023-01-07 02:00:00,43.2,77699,Spain
I000148,SC9282,Product 96,45,2023-01-07 03:00:00,95.83,65597,UK
I000149,SC6363,Product 75,98,2023-01-07 04:00:00,29.3,23724,Germany
C000150,SC7434,Product 37,9,2023-01-07 05:00:00,59.01,20913,Germany
I000151,SC3888,Product 86,15,2023-01-07 06:00:00,52.53,40956,UK
I000152,SC7518,Product 98,66,2023-01-07 07:00:00,11.66,63241,USA
C000153,SC7098,Product 67,24,2023-01-07 08:00:00,45.34,53207,USA
C000154,SC8087,Product 48,93,2023-01-07 09:00:00,54.51,93015,UK
I000155,SC6723,Product 15,64,2023-01-07 10:00:00,65.59,89179,USA
C000156,SC7537,Product 98,30,2023-01-07 11:00:00,72.43,34119,Canada
I000157,SC7497,Product 53,72,2023-01-07 12:00:00,75.04,93833,UK
I000158,SC2892,Product 34,37,2023-01-07 13:00:00,15.15,87278,Spain
I000159,SC7494,Product 78,19,2023-01-07 14:00:00,29.27,40242,France
C000160,SC8020,Product 34,41,2023-01-07 15:00:00,10.76,27211,UK
I000161,SC6136,Product 86,29,2023-01-07 16:00:00,93.81,13666,UK
C000162,SC4983,Product 92,85,2023-01-07 17:00:00,24.35,88848,France
C000163,SC6233,Product 17,57,2023-01-07 18:00:00,24.24,79569,Germany
I000164,SC5194,Product 98,64,2023-01-07 19:00:00,71.35,10639,Canada
C000165,SC6074,Product 37,43,2023-01-07 20:00:00,27.36,29418,France
I000166,SC4225,Product 55,3,2023-01-07 21:00:00,94.09,43966,France
C000167,SC6011,Product 23,89,2023-01-07 22:00:00,91.21,10028,USA
I000168,SC8837,Product 35,8,2023-01-07 23:00:00,9.53,28138,Germany
C000169,SC4765,Product 11,91,2023-01-08 00:00:00,24.23,58184,Spain
C000170,SC4204,Product 13,22,2023-01-08 01:00:00,97.54,27706,Germany
I000171,SC2552,Product 10,10,2023-01-08 02:00:00,35.67,84269,USA
C000172,SC8838,Product 50,53,2023-01-08 03:00:00,18.65,50139,Canada
I000173,SC4650,Product 38,56,2023-01-08 04:00:00,40.47,19267,Canada
C000174,SC1558,Product 60,36,2023-01-08 05:00:00,82.08,40307,Canada
I000175,SC6027,Product 19,2,2023-01-08 06:00:00,15.65,71667,Canada
I000176,SC8470,Product 19,1,2023-01-08 07:00:00,35.13,60829,Germany
I000177,SC1434,Product 1,27,2023-01-08 08:00:00,77.33,24962,France
I000178,SC4842,Product 41,56,2023-01-08 09:00:00,28.53,64030,France
I000179,SC1476,Product 18,93,2023-01-08 10:00:00,38.96,26308,Germany
C000180,SC3448,Product 32,51,2023-01-08 11:00:00,94.65,48379,Spain
C000181,SC5426,Product 34,86,2023-01-08 12:00:00,33.24,33341,UK
I000182,SC5941,Product 15,15,2023-01-08 13:00:00,74.56,41987,Germany
C000183,SC4391,Product 18,46,2023-01-08 14:00:00,21.22,11336,Spain
I000184,SC5410,Product 61,65,2023-01-08 15:00:00,93.29,76662,Canada
C000185,SC9638,Product 61,58,2023-01-08 16:00:00,20.58,14635,France
I000186,SC6992,Product 45,17,2023-01-08 17:00:00,97.86,68020,Germany
I000187,SC1602,Product 89,69,2023-01-08 18:00:00,87.73,96035,UK
I000188,SC7613,Product 83,83,2023-01-08 19:00:00,18.17,10987,USA
I000189,SC7835,Product 44,23,2023-01-08 20:00:00,49.54,75628,Canada
I000190,SC6030,Product 64,20,2023-01-08 21:00:00,79.11,15709,USA
I000191,SC8412,Product 33,48,2023-01-08 22:00:00,20.02,36830,USA
C000192,SC1613,Product 44,52,2023-01-08 23:00:00,24.89,59025,USA
C000193,SC9591,Product 54,26,2023-01-09 00:00:00,84.55,29806,USA
C000194,SC2421,Product 50,73,2023-01-09 01:00:00,24.41,16022,Canada
C000195,SC4412,Product 44,29,2023-01-09 02:00:00,82.98,36922,France
I000196,SC2198,Product 88,14,2023-01-09 03:00:00,74.0,25515,Canada
I000197,SC1222,Product 68,44,2023-01-09 04:00:00,11.86,20209,Canada
I000198,SC3588,Product 61,33,2023-01-09 05:00:00,71.74,75800,UK
C000199,SC6763,Product 49,21,2023-01-09 06:00:00,11.61,11494,France
C000200,SC2845,Product 3,8,2023-01-09 07:00:00,41.65,78566,Germany
I000201,SC4518,Product 88,22,2023-01-09 08:00:00,80.54,52505,USA
C000202,SC5291,Product 13,46,2023-01-09 09:00:00,51.53,98727,Germany
I000203,SC4304,Product 31,72,2023-01-09 10:00:00,14.47,50653,USA
I000204,SC4935,Product 16,20,2023-01-09 11:00:00,14.6,60683,Canada
I000205,SC9583,Product 7,8,2023-01-09 12:00:00,7.76,15902,France
I000206,SC1441,Product 22,28,2023-01-09 13:00:00,43.29,28062,Germany
I000207,SC6550,Product 48,43,2023-01-09 14:00:00,84.88,39749,Germany
I000208,SC7016,Product 29,68,2023-01-09 15:00:00,98.03,13104,France
C000209,SC6104,Product 75,54,2023-01-09 16:00:00,73.71,68967,France
I000210,SC7191,Product 90,7,2023-01-09 17:00:00,25.83,64978,UK
C000211,SC4236,Product 62,95,2023-01-09 18:00:00,88.28,28970,UK
I000212,SC4488,Product 82,46,2023-01-09 19:00:00,8.0,17740,UK
I000213,SC1336,Product 67,93,2023-01-09 20:00:00,96.88,80947,USA
I000214,SC5633,Product 34,51,2023-01-09 21:00:00,47.14,94439,Spain
C000215,SC5655,Product 31,21,2023-01-09 22:00:00,87.99,21435,Germany
I000216,SC3617,Product 76,54,2023-01-09 23:00:00,64.13,21241,Canada
C000217,SC1625,Product 92,65,2023-01-10 00:00:00,13.82,60097,France
I000218,SC2352,Product 98,37,2023-01-10 01:00:00,22.54,45897,UK
I000219,SC1237,Product 56,58,2023-01-10 02:00:00,41.14,11345,France
C000220,SC7229,Product 81,46,2023-01-10 03:00:00,52.59,95416,Spain
I000221,SC8340,Product 30,25,2023-01-10 04:00:00,70.55,46761,Canada
C000222,SC3474,Product 62,96,2023-01-10 05:00:00,98.96,82976,Germany
C000223,SC3514,Product 67,63,2023-01-10 06:00:00,14.29,88465,Canada
C000224,SC6672,Product 5,37,2023-01-10 07:00:00,53.38,29767,UK
I000225,SC3091,Product 12,32,2023-01-10 08:00:00,11.5,62646,USA
I000226,SC2791,Product 12,94,2023-01-10 09:00:00,92.8,69678,USA
I000227,SC9953,Product 75,80,2023-01-10 10:00:00,76.6,66213,Germany
C000228,SC7244,Product 59,66,2023-01-10 11:00:00,70.26,41898,Canada
I000229,SC6102,Product 36,62,2023-01-10 12:00:00,99.47,96876,France
C000230,SC4362,Product 75,53,2023-01-10 13:00:00,61.39,27310,UK
C000231,SC9810,Product 57,15,2023-01-10 14:00:00,53.81,54962,USA
I000232,SC9975,Product 84,77,2023-01-10 15:00:00,57.45,28782,USA
I000233,SC3690,Product 14,48,2023-01-10 16:00:00,31.83,47030,France
I000234,SC2737,Product 57,40,2023-01-10 17:00:00,81.84,80733,Canada
C000235,SC9904,Product 98,11,2023-01-10 18:00:00,21.29,12794,Canada
C000236,SC8622,Product 6,80,2023-01-10 19:00:00,8.56,90549,Canada
C000237,SC7333,Product 1,52,2023-01-10 20:00:00,24.54,20905,France
C000238,SC2411,Product 75,97,2023-01-10 21:00:00,42.97,16000,France
I000239,SC3394,Product 81,49,2023-01-10 22:00:00,42.89,68986,Germany
I000240,SC1972,Product 83,5,2023-01-10 23:00:00,77.2,24725,France
I000241,SC8710,Product 86,97,2023-01-11 00:00:00,59.89,14961,UK
I000242,SC7151,Product 46,98,2023-01-11 01:00:00,49.22,68571,Canada
C000243,SC6623,Product 16,18,2023-01-11 02:00:00,69.09,96958,Spain
I000244,SC6936,Product 15,33,2023-01-11 03:00:00,68.76,68211,UK
C000245,SC6028,Product 46,80,2023-01-11 04:00:00,46.16,25651,Germany
I000246,SC7782,Product 28,63,2023-01-11 05:00:00,54.65,84003,France
C000247,SC1313,Product 56,62,2023-01-11 06:00:00,99.69,66754,UK
C000248,SC7463,Product 16,58,2023-01-11 07:00:00,40.1,68180,Germany
C000249,SC6516,Product 4,99,2023-01-11 08:00:00,46.3,66813,France
I000250,SC9976,Product 83,18,2023-01-11 09:00:00,95.51,83497,France
C000251,SC5953,Product 49,92,2023-01-11 10:00:00,91.65,31371,Germany
I000252,SC9332,Product 40,94,2023-01-11 11:00:00,92.52,39497,Canada
I000253,SC9259,Product 57,7,2023-01-11 12:00:00,42.7,67807,Germany
I000254,SC4330,Product 45,30,2023-01-11 13:00:00,65.25,57517,Germany
C000255,SC4258,Product 28,32,2023-01-11 14:00:00,11.6,80573,Spain
C000256,SC8271,Product 30,18,2023-01-11 15:00:00,61.59,33630,Canada
I000257,SC1318,Product 3,89,2023-01-11 16:00:00,6.13,88966,France
I000258,SC3443,Product 26,51,2023-01-11 17:00:00,57.97,11289,Canada
C000259,SC7413,Product 78,15,2023-01-11 18:00:00,75.05,90223,USA
I000260,SC4391,Product 56,32,2023-01-11 19:00:00,38.34,70215,UK
C000261,SC1766,Product 93,45,2023-01-11 20:00:00,79.72,57724,Spain
C000262,SC6016,Product 96,99,2023-01-11 21:00:00,96.67,94849,UK
C000263,SC4569,Product 29,21,2023-01-11 22:00:00,64.22,70394,Canada
C000264,SC5291,Product 25,2,2023-01-11 23:00:00,60.55,75143,Canada
C000265,SC3087,Product 68,53,2023-01-12 00:00:00,62.32,78280,USA
C000266,SC3417,Product 6,30,2023-01-12 01:00:00,96.66,78919,France
C000267,SC4332,Product 88,39,2023-01-12 02:00:00,22.87,77497,Spain
I000268,SC4014,Product 69,53,2023-01-12 03:00:00,18.94,31733,France
I000269,SC9099,Product 6,64,2023-01-12 04:00:00,57.44,82225,France
I000270,SC9152,Product 32,35,2023-01-12 05:00:00,42.75,93223,Germany
I000271,SC5425,Product 99,38,2023-01-12 06:00:00,48.86,50255,Spain
I000272,SC8615,Product 80,90,2023-01-12 07:00:00,88.16,60392,USA
I000273,SC4354,Product 10,40,2023-01-12 08:00:00,82.57,48663,UK
I000274,SC6734,Product 31,14,2023-01-12 09:00:00,68.44,79342,Canada
C000275,SC9888,Product 23,47,2023-01-12 10:00:00,80.44,32262,Spain
I000276,SC2301,Product 2,87,2023-01-12 11:00:00,23.7,56610,Germany
I000277,SC4007,Product 75,25,2023-01-12 12:00:00,46.84,55316,Spain
I000278,SC9422,Product 88,16,2023-01-12 13:00:00,45.87,40401,USA
I000279,SC4310,Product 35,83,2023-01-12 14:00:00,94.88,97722,USA
C000280,SC9825,Product 72,41,2023-01-12 15:00:00,61.11,79803,Germany
C000281,SC7492,Product 42,48,2023-01-12 16:00:00,43.18,15274,Germany
I000282,SC5379,Product 85,56,2023-01-12 17:00:00,32.91,44800,UK
C000283,SC1011,Product 67,69,2023-01-12 18:00:00,86.96,37344,Canada
C000284,SC9100,Product 100,18,2023-01-12 19:00:00,39.6,15381,UK
I000285,SC4195,Product 61,76,2023-01-12 20:00:00,84.04,17691,Germany
C000286,SC5991,Product 60,32,2023-01-12 21:00:00,52.27,75733,Germany
I000287,SC8026,Product 35,50,2023-01-12 22:00:00,56.73,98359,USA
C000288,SC8188,Product 100,22,2023-01-12 23:00:00,73.2,19672,USA
I000289,SC8085,Product 44,2,2023-01-13 00:00:00,26.92,50852,USA
C000290,SC4605,Product 3,46,2023-01-13 01:00:00,69.89,96147,France
C000291,SC8413,Product 44,24,2023-01-13 02:00:00,36.31,46033,UK
C000292,SC5884,Product 46,95,2023-01-13 03:00:00,47.53,33390,USA
I000293,SC7298,Product 99,45,2023-01-13 04:00:00,64.14,42060,USA
C000294,SC5730,Product 42,6,2023-01-13 05:00:00,97.48,93918,UK
C000295,SC7560,Product 62,36,2023-01-13 06:00:00,37.61,42153,Spain
I000296,SC3255,Product 49,95,2023-01-13 07:00:00,25.24,51796,Canada
I000297,SC1386,Product 23,23,2023-01-13 08:00:00,22.75,76758,Canada
C000298,SC4498,Product 36,16,2023-01-13 09:00:00,86.56,56946,Germany
I000299,SC9604,Product 49,81,2023-01-13 10:00:00,44.01,57123,Spain
I000300,SC3086,Product 3,38,2023-01-13 11:00:00,15.59,21921,Canada
I000301,SC2579,Product 59,19,2023-01-13 12:00:00,88.14,78499,Canada
I000302,SC7905,Product 76,95,2023-01-13 13:00:00,57.87,55361,USA
I000303,SC3128,Product 12,33,2023-01-13 14:00:00,13.15,48938,USA
C000304,SC9629,Product 30,9,2023-01-13 15:00:00,37.5,81643,France
I000305,SC6060,Product 42,5,2023-01-13 16:00:00,43.91,41554,Spain
I000306,SC4719,Product 9,94,2023-01-13 17:00:00,33.49,70887,Germany
C000307,SC8146,Product 62,61,2023-01-13 18:00:00,12.01,14603,Canada
I000308,SC5045,Product 49,80,2023-01-13 19:00:00,8.59,72154,Spain
I000309,SC4307,Product 14,90,2023-01-13 20:00:00,18.19,64762,UK
I000310,SC6747,Product 48,47,2023-01-13 21:00:00,59.67,71496,Spain
C000311,SC9018,Product 14,81,2023-01-13 22:00:00,11.98,79882,Germany
C000312,SC9517,Product 68,54,2023-01-13 23:00:00,19.97,21848,USA
I000313,SC7149,Product 30,83,2023-01-14 00:00:00,26.13,49666,Canada
C000314,SC8557,Product 48,75,2023-01-14 01:00:00,28.35,89873,Spain
I000315,SC9694,Product 70,70,2023-01-14 02:00:00,69.92,57976,USA
I000316,SC4807,Product 87,93,2023-01-14 03:00:00,22.45,62006,Germany
I000317,SC8401,Product 98,16,2023-01-14 04:00:00,61.82,87277,Germany
I000318,SC4157,Product 2,58,2023-01-14 05:00:00,94.21,70290,Canada
I000319,SC1463,Product 85,61,2023-01-14 06:00:00,14.33,86340,Germany
C000320,SC2624,Product 95,15,2023-01-14 07:00:00,42.67,22824,Spain
C000321,SC7043,Product 21,39,2023-01-14 08:00:00,58.84,81431,Canada
I000322,SC3419,Product 60,67,2023-01-14 09:00:00,34.38,21223,UK
I000323,SC9448,Product 20,55,2023-01-14 10:00:00,35.01,20146,Germany
I000324,SC6878,Product 91,74,2023-01-14 11:00:00,76.48,63477,USA
I000325,SC9270,Product 40,5,2023-01-14 12:00:00,33.03,31094,Germany
I000326,SC3108,Product 15,43,2023-01-14 13:00:00,15.95,37448,France
C000327,SC2871,Product 57,13,2023-01-14 14:00:00,93.9,31191,Canada
C000328,SC7471,Product 34,22,2023-01-14 15:00:00,55.4,57196,Spain
C000329,SC6820,Product 51,11,2023-01-14 16:00:00,8.46,83729,France
C000330,SC7193,Product 53,30,2023-01-14 17:00:00,6.32,24972,France
I000331,SC3469,Product 33,59,2023-01-14 18:00:00,43.18,77925,Canada
C000332,SC2334,Product 51,63,2023-01-14 19:00:00,23.64,27023,Canada
I000333,SC4875,Product 60,67,2023-01-14 20:00:00,86.51,31022,Spain
C000334,SC6205,Product 34,24,2023-01-14 21:00:00,60.04,83671,Spain
I000335,SC1175,Product 39,33,2023-01-14 22:00:00,94.96,23562,USA
I000336,SC8219,Product 11,21,2023-01-14 23:00:00,4.53,18414,USA
I000337,SC4228,Product 85,28,2023-01-15 00:00:00,10.27,79031,Canada
I000338,SC2122,Product 50,28,2023-01-15 01:00:00,4.74,50713,Germany
I000339,SC8086,Product 96,22,2023-01-15 02:00:00,17.08,86346,Spain
C000340,SC1229,Product 43,92,2023-01-15 03:00:00,32.2,75747,UK
C000341,SC6718,Product 41,37,2023-01-15 04:00:00,67.73,55296,Canada
C000342,SC1433,Product 55,12,2023-01-15 05:00:00,36.52,30756,Canada
I000343,SC5143,Product 27,37,2023-01-15 06:00:00,80.12,87854,France
I000344,SC3751,Product 24,16,2023-01-15 07:00:00,16.54,37013,USA
I000345,SC9083,Product 28,37,2023-01-15 08:00:00,88.67,75527,Spain
C000346,SC7878,Product 18,3,2023-01-15 09:00:00,22.51,29926,France
I000347,SC8347,Product 19,75,2023-01-15 10:00:00,59.79,47056,Canada
I000348,SC4353,Product 31,40,2023-01-15 11:00:00,28.19,69285,Canada
I000349,SC4994,Product 2,12,2023-01-15 12:00:00,86.1,86182,USA
I000350,SC9815,Product 43,31,2023-01-15 13:00:00,78.7,94953,UK
I000351,SC5071,Product 34,59,2023-01-15 14:00:00,36.01,44612,USA
I000352,SC7842,Product 73,19,2023-01-15 15:00:00,48.44,36730,Canada
I000353,SC9457,Product 45,58,2023-01-15 16:00:00,20.38,14628,France
